500,500,100000,32,14662
1000,500,100000,32,13662
1500,500,100000,32,13287
2000,500,100000,32,13108
2500,500,100000,32,13000
3000,500,100000,32,12982
3500,500,100000,32,12926
4000,500,100000,32,12883
4500,500,100000,32,12850
5000,500,100000,32,12814
500,1000,100000,32,14617
1000,1000,100000,32,13661
1500,1000,100000,32,13303
2000,1000,100000,32,13113
2500,1000,100000,32,12985
3000,1000,100000,32,12970
3500,1000,100000,32,12925
4000,1000,100000,32,12886
4500,1000,100000,32,12846
5000,1000,100000,32,12808
500,1500,100000,32,14667
1000,1500,100000,32,13673
1500,1500,100000,32,13295
2000,1500,100000,32,13104
2500,1500,100000,32,12986
3000,1500,100000,32,12964
3500,1500,100000,32,12918
4000,1500,100000,32,12877
4500,1500,100000,32,12839
5000,1500,100000,32,12808
500,2000,100000,32,14636
1000,2000,100000,32,13655
1500,2000,100000,32,13308
2000,2000,100000,32,13112
2500,2000,100000,32,12984
3000,2000,100000,32,12961
3500,2000,100000,32,12920
4000,2000,100000,32,12874
4500,2000,100000,32,12836
5000,2000,100000,32,12806
500,2500,100000,32,14643
1000,2500,100000,32,13659
1500,2500,100000,32,13301
2000,2500,100000,32,13102
2500,2500,100000,32,12981
3000,2500,100000,32,12962
3500,2500,100000,32,12921
4000,2500,100000,32,12870
4500,2500,100000,32,12836
5000,2500,100000,32,12801
500,3000,100000,32,14660
1000,3000,100000,32,13652
1500,3000,100000,32,13297
2000,3000,100000,32,13106
2500,3000,100000,32,12984
3000,3000,100000,32,12969
3500,3000,100000,32,12920
4000,3000,100000,32,12871
4500,3000,100000,32,12832
5000,3000,100000,32,12802
500,3500,100000,32,14648
1000,3500,100000,32,13664
1500,3500,100000,32,13294
2000,3500,100000,32,13095
2500,3500,100000,32,12981
3000,3500,100000,32,12968
3500,3500,100000,32,12917
4000,3500,100000,32,12871
4500,3500,100000,32,12829
5000,3500,100000,32,12802
500,4000,100000,32,14685
1000,4000,100000,32,13655
1500,4000,100000,32,13299
2000,4000,100000,32,13104
2500,4000,100000,32,12980
3000,4000,100000,32,12964
3500,4000,100000,32,12916
4000,4000,100000,32,12869
4500,4000,100000,32,12830
5000,4000,100000,32,12800
500,4500,100000,32,14644
1000,4500,100000,32,13644
1500,4500,100000,32,13276
2000,4500,100000,32,13088
2500,4500,100000,32,12973
3000,4500,100000,32,12954
3500,4500,100000,32,12912
4000,4500,100000,32,12864
4500,4500,100000,32,12825
5000,4500,100000,32,12798
500,5000,100000,32,14665
1000,5000,100000,32,13665
1500,5000,100000,32,13282
2000,5000,100000,32,13092
2500,5000,100000,32,12968
3000,5000,100000,32,12957
3500,5000,100000,32,12910
4000,5000,100000,32,12865
4500,5000,100000,32,12826
5000,5000,100000,32,12792
